model,short,query_id,patent,origin,qlang,src,n_targets,foreign_reach10
google/embeddinggemma-300m,embeddinggemma,EP-4633465-A1_en_q_de,EP-4633465-A1,synthetic,de,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633680-A1_en_q_es,EP-4633680-A1,synthetic,es,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,WO-2025201606-A1_de_q_es,WO-2025201606-A1,synthetic,es,de,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634435-A1_en_q_de,EP-4634435-A1,synthetic,de,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634143-A1_en_q_de,EP-4634143-A1,synthetic,de,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634411-A1_en_q_de,EP-4634411-A1,synthetic,de,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634287-A1_en_q_es,EP-4634287-A1,synthetic,es,en,2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633627-A1_en_q_de,EP-4633627-A1,synthetic,de,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633670-A1_fr_q_fr,EP-4633670-A1,original,fr,fr,1,1.0
google/embeddinggemma-300m,embeddinggemma,WO-2025202163-A1_fr_q_fr,WO-2025202163-A1,original,fr,fr,1,1.0
google/embeddinggemma-300m,embeddinggemma,WO-2025214852-A1_fr_q_fr,WO-2025214852-A1,original,fr,fr,1,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025214996-A1_fr_q_fr,WO-2025214996-A1,original,fr,fr,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4630123-A1_de_q_de,EP-4630123-A1,original,de,de,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634646-A1_en_q_en,EP-4634646-A1,original,en,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634294-A1_en_q_en,EP-4634294-A1,original,en,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634436-A1_fr_q_fr,EP-4634436-A1,original,fr,fr,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633761-A1_en_q_en,EP-4633761-A1,original,en,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025215167-A1_de_q_de,WO-2025215167-A1,original,de,de,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4626962-A1_de_q_en,EP-4626962-A1,synthetic,en,de,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4626962-A1_de_q_de,EP-4626962-A1,original,de,de,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4626962-A1_fr_q_fr,EP-4626962-A1,original,fr,fr,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4626962-A1_de_q_es,EP-4626962-A1,synthetic,es,de,1,1.0
google/embeddinggemma-300m,embeddinggemma,WO-2025201936-A1_de_q_en,WO-2025201936-A1,synthetic,en,de,1,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025201936-A1_fr_q_fr,WO-2025201936-A1,original,fr,fr,1,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025201936-A1_de_q_es,WO-2025201936-A1,synthetic,es,de,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634597-A1_en_q_en,EP-4634597-A1,original,en,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634597-A1_en_q_de,EP-4634597-A1,synthetic,de,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634597-A1_fr_q_fr,EP-4634597-A1,original,fr,fr,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634597-A1_en_q_es,EP-4634597-A1,synthetic,es,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634381-A1_en_q_zh,EP-4634381-A1,synthetic,zh,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633589-A1_en_q_zh,EP-4633589-A1,synthetic,zh,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4627024-A1_de_q_zh,EP-4627024-A1,synthetic,zh,de,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634926-A1_en_q_zh,EP-4634926-A1,synthetic,zh,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633863-A2_en_q_zh,EP-4633863-A2,synthetic,zh,en,2,0.5
google/embeddinggemma-300m,embeddinggemma,EP-4633797-A1_en_q_zh,EP-4633797-A1,synthetic,zh,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633777-A1_en_q_zh,EP-4633777-A1,synthetic,zh,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633621-A1_en_q_zh,EP-4633621-A1,synthetic,zh,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634723-A1_en_q_zh,EP-4634723-A1,synthetic,zh,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633581-A1_en_q_zh,EP-4633581-A1,synthetic,zh,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634416-A1_en_q_zh,EP-4634416-A1,synthetic,zh,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634305-A1_en_q_zh,EP-4634305-A1,synthetic,zh,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633531-A1_en_q_zh,EP-4633531-A1,synthetic,zh,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634333-A1_en_q_zh,EP-4634333-A1,synthetic,zh,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634212-A1_en_q_zh,EP-4634212-A1,synthetic,zh,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4629959-A1_de_q_zh,EP-4629959-A1,synthetic,zh,de,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4627881-A1_de_q_zh,EP-4627881-A1,synthetic,zh,de,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633576-A1_en_q_zh,EP-4633576-A1,synthetic,zh,en,1,0.0
