model,patent,orig,syn,diff
SapBERT,EP-4634597-A1,0.5,0.0,0.5
SapBERT,EP-4634629-A1,0.16666666666666666,0.0,0.16666666666666666
SapBERT,EP-4634663-A1,0.5,0.6666666666666666,-0.16666666666666663
SapBERT,MX-2025002688-A,0.0,0.0,0.0
SapBERT,MX-2025005046-A,0.0,0.0,0.0
SapBERT,MX-2025005421-A,0.0,0.0,0.0
SapBERT,MX-2025005709-A,0.0,0.0,0.0
SapBERT,MX-2025007733-A,0.0,0.0,0.0
SapBERT,MX-2025008227-A,0.5,0.6666666666666666,-0.16666666666666663
SapBERT,MX-2025008260-A,0.0,0.0,0.0
SapBERT,MX-2025009739-A,0.0,0.0,0.0
SapBERT,MX-2025010085-A,1.0,0.6666666666666666,0.33333333333333337
SapBERT,WO-2021255541-A1,0.0,0.0,0.0
SapBERT,WO-2024245507-A9,0.3333333333333333,0.5,-0.16666666666666669
SapBERT,WO-2025153617-A3,0.0,0.0,0.0
SapBERT,WO-2025186592-A8,0.0,0.6666666666666666,-0.6666666666666666
SapBERT,WO-2025187712-A8,0.0,0.0,0.0
SapBERT,WO-2025192625-A1,0.0,0.0,0.0
SapBERT,WO-2025201936-A1,0.0,0.0,0.0
SapBERT,WO-2025204469-A1,0.0,0.0,0.0
SapBERT,WO-2025211147-A1,0.0,0.0,0.0
SapBERT,WO-2025216711-A1,0.6666666666666666,0.5,0.16666666666666663
e5-large-instruct,EP-4626962-A1,0.0,0.25,-0.25
e5-large-instruct,EP-4630253-A1,0.0,0.0,0.0
e5-large-instruct,EP-4630574-A1,0.0,0.0,0.0
e5-large-instruct,EP-4633415-A1,0.0,0.0,0.0
e5-large-instruct,EP-4633662-A1,0.0,0.0,0.0
e5-large-instruct,EP-4633950-A1,0.0,0.0,0.0
e5-large-instruct,EP-4634111-A1,0.0,0.0,0.0
e5-large-instruct,EP-4634136-A1,0.0,0.0,0.0
e5-large-instruct,EP-4634139-A1,0.0,0.0,0.0
e5-large-instruct,EP-4634142-A1,0.0,0.0,0.0
e5-large-instruct,EP-4634248-A1,0.0,0.0,0.0
e5-large-instruct,EP-4634596-A1,0.3333333333333333,0.0,0.3333333333333333
e5-large-instruct,EP-4634597-A1,0.0,0.0,0.0
e5-large-instruct,EP-4634629-A1,0.0,0.0,0.0
e5-large-instruct,EP-4634663-A1,0.0,0.0,0.0
e5-large-instruct,MX-2025002688-A,0.0,0.0,0.0
e5-large-instruct,MX-2025005046-A,0.0,0.0,0.0
e5-large-instruct,MX-2025005421-A,0.0,0.0,0.0
e5-large-instruct,MX-2025005709-A,0.0,0.0,0.0
e5-large-instruct,MX-2025007733-A,0.0,0.0,0.0
e5-large-instruct,MX-2025008227-A,0.5,0.0,0.5
e5-large-instruct,MX-2025008260-A,0.0,0.0,0.0
e5-large-instruct,MX-2025009739-A,0.0,0.0,0.0
e5-large-instruct,MX-2025010085-A,0.0,0.0,0.0
e5-large-instruct,WO-2021255541-A1,0.0,0.0,0.0
e5-large-instruct,WO-2024245507-A9,0.0,0.0,0.0
e5-large-instruct,WO-2025153617-A3,0.0,0.0,0.0
e5-large-instruct,WO-2025186592-A8,0.0,0.0,0.0
e5-large-instruct,WO-2025187712-A8,0.0,0.0,0.0
e5-large-instruct,WO-2025192625-A1,0.0,0.0,0.0
e5-large-instruct,WO-2025201936-A1,0.0,0.25,-0.25
e5-large-instruct,WO-2025204469-A1,0.0,0.0,0.0
e5-large-instruct,WO-2025211147-A1,0.0,0.0,0.0
e5-large-instruct,WO-2025216711-A1,0.3333333333333333,0.5,-0.16666666666666669
gte-base,EP-4626962-A1,0.0,0.0,0.0
gte-base,EP-4630253-A1,0.0,0.0,0.0
gte-base,EP-4630574-A1,0.0,0.0,0.0
gte-base,EP-4633415-A1,0.0,0.0,0.0
gte-base,EP-4633662-A1,0.0,0.0,0.0
gte-base,EP-4633950-A1,0.0,0.0,0.0
gte-base,EP-4634111-A1,0.0,0.0,0.0
gte-base,EP-4634136-A1,0.0,0.0,0.0
gte-base,EP-4634139-A1,0.0,0.0,0.0
gte-base,EP-4634142-A1,0.0,0.0,0.0
gte-base,EP-4634248-A1,0.0,0.0,0.0
gte-base,EP-4634596-A1,0.0,0.0,0.0
gte-base,EP-4634597-A1,0.0,0.0,0.0
gte-base,EP-4634629-A1,0.0,0.0,0.0
gte-base,EP-4634663-A1,0.0,0.0,0.0
gte-base,MX-2025002688-A,0.0,0.0,0.0
gte-base,MX-2025005046-A,0.0,0.0,0.0
gte-base,MX-2025005421-A,0.0,0.0,0.0
gte-base,MX-2025005709-A,0.0,0.0,0.0
gte-base,MX-2025007733-A,0.0,0.0,0.0
gte-base,MX-2025008227-A,0.0,0.0,0.0
gte-base,MX-2025008260-A,0.0,0.0,0.0
gte-base,MX-2025009739-A,0.0,0.0,0.0
gte-base,MX-2025010085-A,0.0,0.0,0.0
gte-base,WO-2021255541-A1,0.0,0.0,0.0
gte-base,WO-2024245507-A9,0.0,0.0,0.0
gte-base,WO-2025153617-A3,0.0,0.0,0.0
gte-base,WO-2025186592-A8,0.0,0.0,0.0
gte-base,WO-2025187712-A8,0.0,0.0,0.0
gte-base,WO-2025192625-A1,0.0,0.0,0.0
gte-base,WO-2025201936-A1,0.0,0.0,0.0
gte-base,WO-2025204469-A1,0.0,0.0,0.0
gte-base,WO-2025211147-A1,0.0,0.0,0.0
gte-base,WO-2025216711-A1,0.0,0.0,0.0
