model,short,query_id,qlang,same_share,foreign_share,base_same,overrep,entropy,clir_at_10,frac_en,frac_de,frac_es,frac_fr,frac_zh
google/embeddinggemma-300m,embeddinggemma,EP-4634629-A1_fr_q_fr,fr,0.9,0.09999999999999998,0.37016017152226005,2.4313798977853494,0.4689955935892812,0.0,0.1,0.0,0.0,0.9,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634629-A1_en_q_es,es,0.4,0.6,0.09055366376592257,4.417270194986072,1.8464393446710154,0.0,0.2,0.1,0.4,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633582-A1_en_q_es,es,0.4,0.6,0.09055366376592257,4.417270194986072,1.8464393446710154,1.0,0.2,0.0,0.4,0.3,0.1
google/embeddinggemma-300m,embeddinggemma,EP-4634165-A1_en_q_es,es,0.3,0.7,0.09055366376592257,3.312952646239554,1.5709505944546684,1.0,0.4,0.0,0.3,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633677-A1_en_q_de,de,0.0,1.0,0.06730567116492202,0.0,0.8812908992306927,0.0,0.3,0.0,0.0,0.7,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634246-A1_en_q_en,en,0.6,0.4,0.4551645856980704,1.3182044887780549,1.3709505944546687,1.0,0.6,0.2,0.0,0.2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634120-A1_en_q_de,de,0.0,1.0,0.06730567116492202,0.0,1.295461844238322,0.5,0.3,0.0,0.1,0.6,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633638-A1_en_q_en,en,0.8,0.19999999999999996,0.4551645856980704,1.7576059850374066,0.9219280948873623,1.0,0.8,0.0,0.1,0.1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633389-A1_en_q_en,en,0.6,0.4,0.4551645856980704,1.3182044887780549,0.9709505944546686,1.0,0.6,0.0,0.0,0.4,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025209629-A1_de_q_es,es,0.1,0.9,0.09055366376592257,1.104317548746518,1.721928094887362,1.0,0.4,0.1,0.1,0.4,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634132-A2_en_q_en,en,0.8,0.19999999999999996,0.4551645856980704,1.7576059850374066,0.9219280948873623,0.0,0.8,0.1,0.0,0.1,0.0
