model,short,query_id,qlang,origin,auc_all,auc_same,auc_cross,margin_cross,norm_score_cross
google/embeddinggemma-300m,embeddinggemma,EP-4634165-A1_en_q_es,es,synthetic,0.9999999999999999,,0.9999999999999999,0.17007889133242585,0.8723081220212618
google/embeddinggemma-300m,embeddinggemma,EP-4633677-A1_en_q_de,de,synthetic,0.9413827655310621,,0.9413827655310621,-0.3309596640143206,0.4266596012297831
google/embeddinggemma-300m,embeddinggemma,EP-4634246-A1_en_q_en,en,original,1.0,1.0,1.0,0.08411089045675459,0.6429026634305868
google/embeddinggemma-300m,embeddinggemma,EP-4634120-A1_en_q_de,de,synthetic,0.9869739478957915,,0.9869739478957915,-0.2229361085735338,0.5303155608911798
google/embeddinggemma-300m,embeddinggemma,EP-4633638-A1_en_q_en,en,original,0.9999999999999999,1.0,1.0,0.23746550489295912,0.839772618381665
google/embeddinggemma-300m,embeddinggemma,EP-4633389-A1_en_q_en,en,original,1.0,1.0,1.0,0.39774436265537516,0.795431027508838
google/embeddinggemma-300m,embeddinggemma,WO-2025209629-A1_de_q_es,es,synthetic,1.0,,1.0,0.10645569125294901,0.9227893556752338
google/embeddinggemma-300m,embeddinggemma,EP-4634132-A2_en_q_en,en,original,0.9859719438877756,0.9919839679358717,0.9799599198396793,-0.36933533549355885,0.4661950313335122
google/embeddinggemma-300m,embeddinggemma,EP-4634914-A1_en_q_es,es,synthetic,0.9994989979959921,,0.9994989979959921,0.0312515287765785,0.8551622152213147
google/embeddinggemma-300m,embeddinggemma,EP-4634285-A1_en_q_de,de,synthetic,0.99749498997996,,0.99749498997996,0.313766955132714,0.672747067007618
google/embeddinggemma-300m,embeddinggemma,EP-4634122-A1_fr_q_fr,fr,original,0.9428857715430862,0.9689378757515031,0.9168336673346694,-0.3635805587953366,0.3567216547772779
google/embeddinggemma-300m,embeddinggemma,EP-4634365-A1_fr_q_fr,fr,original,1.0,1.0,1.0,0.4416691777993548,0.7952687285487146
google/embeddinggemma-300m,embeddinggemma,WO-2025214709-A1_de_q_es,es,synthetic,0.9949899799599198,,0.9949899799599198,-0.18816423409380767,0.6177874027777814
google/embeddinggemma-300m,embeddinggemma,EP-4633426-A2_en_q_es,es,synthetic,1.0,,1.0,0.4204633021796125,0.85075131056661
google/embeddinggemma-300m,embeddinggemma,EP-4630604-A1_de_q_es,es,synthetic,0.9934869739478958,,0.9934869739478958,-0.0863815193328976,0.6738722446786147
google/embeddinggemma-300m,embeddinggemma,EP-4634118-A1_en_q_es,es,synthetic,0.998997995991984,,0.998997995991984,-0.04731137974155913,0.8005944392713342
