id,n_latin_types,maps_to_chebi,zh_fixable,fully_fixable,example_fixable_terms
EP-4630522-A1_zh,2,0,0,False,
WO-2025202165-A1_zh,9,0,0,False,
EP-4627120-A1_zh,12,0,0,False,
WO-2025205843-A1_zh,15,2,2,False,Chromium; scandium
MX-2025002183-A_zh,5,0,0,False,
WO-2025200478-A1_zh,1,0,0,False,
MX-2025006292-A_zh,2,0,0,False,
WO-2023153953-A1_zh,2,0,0,False,
WO-2025205599-A1_zh,1,0,0,False,
WO-2025212979-A1_zh,5,1,1,False,benzyl
WO-2025187202-A1_zh,2,0,0,False,
MX-2025009144-A_zh,1,0,0,False,
WO-2025206106-A1_zh,4,0,0,False,
MX-2025008379-A_zh,2,0,0,False,
WO-2025068587-A1_zh,7,0,0,False,
WO-2025169901-A1_zh,4,0,0,False,
WO-2025187920-A8_zh,5,3,2,False,Rubber; nitrile
WO-2025205035-A1_zh,9,0,0,False,
WO-2025189017-A8_zh,3,0,0,False,
ES-3035119-A1_zh,2,0,0,False,
WO-2022045916-A1_zh,5,1,1,False,chitosan
EP-4627005-A1_zh,9,2,2,False,Ethylene; propylene
EP-4551644-A1_zh,2,0,0,False,
WO-2025211171-A1_zh,2,0,0,False,
WO-2025207160-A1_zh,1,0,0,False,
MX-2025010611-A_zh,5,0,0,False,
EP-4507657-A1_zh,2,0,0,False,
EP-4627325-A1_zh,11,1,1,False,fluorocarbons
WO-2025215647-A1_zh,2,0,0,False,
EP-4626879-A1_zh,6,0,0,False,
EP-4584035-A1_zh,7,0,0,False,
WO-2025119472-A1_zh,16,1,1,False,urea
EP-4627245-A1_zh,1,0,0,False,
MX-2025011277-A_zh,2,0,0,False,
WO-2025202104-A1_zh,1,0,0,False,
MX-2025009335-A_zh,5,0,0,False,
WO-2025206105-A1_zh,6,3,3,False,adenosine; nucleotides; oligonucleotide
MX-2025003750-A_zh,4,0,0,False,
WO-2025208970-A1_zh,1,0,0,False,
WO-2025209988-A1_zh,4,2,2,False,cytostatic; mRNA
WO-2025200062-A1_zh,9,1,1,False,capsanthin
WO-2021225467-A1_zh,11,0,0,False,
WO-2025200089-A1_zh,7,1,1,False,Iron
WO-2025185710-A8_zh,2,0,0,False,
MX-2025007577-A_zh,10,0,0,False,
EP-4633632-A1_zh,5,1,0,False,GLP-1
EP-4633759-A1_zh,2,0,0,False,
WO-2025187622-A8_zh,5,0,0,False,
WO-2025154762-A1_zh,1,0,0,False,
WO-2025187235-A8_zh,14,0,0,False,
WO-2025197823-A1_zh,6,0,0,False,
EP-4626532-A1_zh,5,0,0,False,
WO-2025217110-A1_zh,3,1,0,False,
EP-4626928-A2_zh,7,0,0,False,
WO-2025131900-A1_zh,9,1,1,False,ether
